FD_call,available_set,FD_response,count,probability
311,"314,315",315,2,0.11764705882352941
314,"311,315",311,3,0.03225806451612903
313,"311,313,315",315,1,0.0025380710659898475
315,"311,312",311,3,0.23076923076923078
313,"313,314,315",315,1,0.005681818181818182
314,"311,312,313,314",311,4,0.0034334763948497852
312,314,314,7,1.0
315,"311,313,314",313,2,0.03076923076923077
312,"311,312",311,9,0.2
313,"311,313",311,3,0.039473684210526314
311,"313,314",314,3,0.3333333333333333
315,311,311,1,1.0
311,"311,312,315",315,1,0.006211180124223602
312,"314,315",315,5,0.09433962264150944
311,312,312,2,1.0
311,"314,315",314,15,0.8823529411764706
314,"311,313,315",311,3,0.006944444444444444
313,"312,314",314,6,0.6666666666666666
313,"313,315",315,2,0.038461538461538464
315,"314,315",314,2,0.08
314,"314,315",315,5,0.056818181818181816
311,"311,314,315",315,1,0.004524886877828055
313,312,312,3,1.0
313,314,314,2,1.0
311,315,315,1,1.0
313,315,315,2,1.0
314,"312,314",312,6,0.2608695652173913
311,"311,312,313,314",314,5,0.014005602240896359
315,"311,312,313,314",313,5,0.013123359580052493
315,"312,313,314",312,2,0.08
315,"312,313,315",312,7,0.12727272727272726
313,"312,313,314,315",315,2,0.0030165912518853697
315,"311,312,313,315",311,1,0.0011467889908256881
315,"311,312,313,314",311,2,0.005249343832020997
315,"312,313",313,1,0.14285714285714285
311,"311,313,314,315",315,3,0.003896103896103896
315,"312,313,314,315",313,1,0.0027397260273972603
315,312,312,1,1.0
313,"312,313",312,2,0.2222222222222222
313,"312,315",315,1,0.041666666666666664
312,"312,313,314",313,2,0.05714285714285714
315,"313,315",313,1,0.047619047619047616
313,"314,315",315,2,0.045454545454545456
314,"311,313,314,315",311,1,0.0006872852233676976
315,313,313,3,1.0
311,"311,314",314,1,0.07692307692307693
311,"312,313,314",314,1,0.023255813953488372
315,"311,313,314,315",311,1,0.0021598272138228943
313,"311,312,314,315",315,1,0.0007530120481927711
315,"311,313",311,1,0.1111111111111111
313,"311,313,314",311,1,0.013888888888888888
314,"311,314",311,1,0.019230769230769232
